age_upon_outcome,animal_id_outcome,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),outcome_datetime,outcome_month,outcome_year,outcome_monthyear,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),intake_datetime,intake_month,intake_year,intake_monthyear,intake_number,time_in_shelter,time_in_shelter_days
4 years,A694334,N/A,Rto-Adopt,Spayed Female,1460,2017-04-01 11:04:00,4,2017,2017-04,2012,12,2017-04,4 years,A694334,Dog,Dachshund Mix,Black/White,3600 Presidential Blvd in Austin (TX),Normal,Stray,Female - Spayed,1,1460,4.0,2017-03-28 14:10:00,3,2017,2017-03,1.0,3 days 20:54:00.000000000,3.870833333333333
3 years,A701755,N/A,Rto-Adopt,Neutered Male,1095,2018-03-11 17:21:00,3,2018,2018-03,2015,3,2018-03,3 years,A701755,Dog,Miniature Pinscher/Chihuahua Shorthair,Tricolor,2330 West North Loop in Austin (TX),Normal,Stray,Male - Neutered,1,1095,3.0,2018-03-06 11:10:00,3,2018,2018-03,1.0,5 days 06:11:00.000000000,5.257638888888889
5 years,A707181,N/A,Rto-Adopt,Neutered Male,1825,2017-04-19 18:28:00,4,2017,2017-04,2011,7,2017-04,5 years,A707181,Dog,Labrador Retriever Mix,Tan/White,Austin (TX),Normal,Owner Surrender,Male - Neutered,1,1825,5.0,2017-04-16 11:04:00,4,2017,2017-04,1.0,3 days 07:24:00.000000000,3.308333333333333
8 years,A712725,N/A,Rto-Adopt,Neutered Male,2920,2017-03-06 13:30:00,3,2017,2017-03,2008,9,2017-03,8 years,A712725,Dog,Great Pyrenees Mix,White,3735 Promontory Point Dr in Austin (TX),Normal,Stray,Male - Neutered,1,2920,8.0,2017-02-28 11:06:00,2,2017,2017-02,1.0,6 days 02:24:00.000000000,6.1
5 years,A716652,N/A,Rto-Adopt,Neutered Male,1825,2018-02-19 17:19:00,2,2018,2018-02,2012,11,2018-02,5 years,A716652,Dog,Mastiff Mix,White/Yellow Brindle,Bluff Springs Road And William Cannon Drive in Austin (TX),Normal,Stray,Male - Neutered,1,1825,5.0,2018-01-26 10:29:00,1,2018,2018-01,1.0,24 days 06:50:00.000000000,24.28472222222222
4 years,A717193,N/A,Rto-Adopt,Intact Male,1460,2017-06-17 18:31:00,6,2017,2017-06,2012,12,2017-06,4 years,A717193,Dog,Pit Bull Mix,Brown Brindle,2315 Dovehill in Austin (TX),Injured,Stray,Male - Intact,1,1460,4.0,2017-06-01 13:28:00,6,2017,2017-06,1.0,16 days 05:03:00.000000000,16.210416666666667
2 years,A718223,N/A,Rto-Adopt,Neutered Male,730,2018-01-29 18:29:00,1,2018,2018-01,2015,5,2018-01,2 years,A718223,Dog,St. Bernard Rough Coat/Boxer,White/Brown,501 E. 7Th in Austin (TX),Normal,Public Assist,Male - Neutered,1,730,2.0,2018-01-19 10:19:00,1,2018,2018-01,1.0,10 days 08:10:00.000000000,10.340277777777779
11 years,A718613,N/A,Rto-Adopt,Neutered Male,4015,2017-04-23 12:30:00,4,2017,2017-04,2006,1,2017-04,10 years,A718613,Dog,Dachshund Mix,Red,Parmer Ln And Mopac in Austin (TX),Normal,Stray,Male - Neutered,1,3650,10.0,2016-01-03 12:08:00,1,2016,2016-01,1.0,476 days 00:22:00.000000000,476.0152777777778
11 years,A720304,N/A,Rto-Adopt,Neutered Male,4015,2017-12-07 09:59:00,6,2017,2017-06,2005,8,2017-06,12 years,A720304,Dog,Pit Bull Mix,Brown/White,7201 Levander Loop in Austin (TX),Normal,Owner Surrender,Male - Neutered,1,4380,12.0,2017-06-01 12:21:00,12,2017,2017-12,3.0,188 days 21:38:00.000000000,188.9013888888889
6 years,A724481,N/A,Rto-Adopt,Neutered Male,2190,2018-03-30 18:39:00,3,2018,2018-03,2011,4,2018-03,6 years,A724481,Dog,German Shepherd Mix,Black/Brown,10002 Pollo in Travis (TX),Normal,Stray,Male - Intact,1,2190,6.0,2018-03-14 13:25:00,3,2018,2018-03,1.0,16 days 05:14:00.000000000,16.218055555555555
1 year,A729260,N/A,Rto-Adopt,Spayed Female,365,2017-05-22 14:08:00,5,2017,2017-05,2015,12,2017-05,1 year,A729260,Dog,Pit Bull Mix,Tan/White,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,365,1.0,2017-05-09 11:33:00,5,2017,2017-05,1.0,13 days 02:35:00.000000000,13.10763888888889
2 years,A729381,N/A,Rto-Adopt,Neutered Male,730,2018-03-09 13:52:00,3,2018,2018-03,2016,1,2018-03,2 years,A729381,Dog,Maltese Mix,White,Austin (TX),Normal,Stray,Male - Neutered,1,730,2.0,2018-03-08 12:13:00,3,2018,2018-03,1.0,1 days 01:39:00.000000000,1.06875
1 year,A730326,N/A,Rto-Adopt,Spayed Female,365,2017-11-09 18:05:00,11,2017,2017-11,2016,4,2017-11,1 year,A730326,Dog,Labrador Retriever Mix,Tan,Laurelleaf Drive And Black Willow Street in Pflugerville (TX),Normal,Stray,Female - Intact,1,365,1.0,2017-11-04 16:09:00,11,2017,2017-11,1.0,5 days 01:56:00.000000000,5.080555555555556
1 year,A731692,N/A,Rto-Adopt,Spayed Female,365,2017-07-13 18:54:00,7,2017,2017-07,2015,7,2017-07,1 year,A731692,Dog,Staffordshire Mix,Black/White,Outside Jurisdiction,Normal,Owner Surrender,Female - Spayed,1,365,1.0,2017-05-05 12:27:00,5,2017,2017-05,1.0,69 days 06:27:00.000000000,69.26875
5 years,A734132,N/A,Rto-Adopt,Neutered Male,1825,2017-12-28 13:18:00,12,2017,2017-12,2012,9,2017-12,5 years,A734132,Dog,Pit Bull Mix,Brown/White,501 E Oltorf in Austin (TX),Other,Public Assist,Male - Neutered,1,1825,5.0,2017-12-19 10:45:00,12,2017,2017-12,1.0,9 days 02:33:00.000000000,9.10625
7 years,A737779,N/A,Rto-Adopt,Intact Female,2555,2017-04-12 12:27:00,4,2017,2017-04,2009,11,2017-04,7 years,A737779,Dog,Pit Bull Mix,Brown/White,11800 Stonehollow in Austin (TX),Normal,Stray,Female - Intact,1,2555,7.0,2017-02-21 13:03:00,2,2017,2017-02,4.0,49 days 23:24:00.000000000,49.975
3 years,A738324,N/A,Rto-Adopt,Neutered Male,1095,2017-06-13 19:04:00,6,2017,2017-06,2013,11,2017-06,3 years,A738324,Dog,Pit Bull Mix,Black/White,9600 S I H 35 in Austin (TX),Normal,Stray,Male - Intact,1,1095,3.0,2017-06-09 18:42:00,6,2017,2017-06,5.0,4 days 00:22:00.000000000,4.0152777777777775
1 year,A739871,N/A,Rto-Adopt,Neutered Male,365,2017-08-30 14:46:00,8,2017,2017-08,2016,5,2017-08,1 year,A739871,Dog,German Shepherd Mix,Black/Brown,Austin (TX),Normal,Owner Surrender,Male - Neutered,1,365,1.0,2017-08-03 17:00:00,8,2017,2017-08,1.0,26 days 21:46:00.000000000,26.906944444444445
3 years,A740028,N/A,Rto-Adopt,Neutered Male,1095,2017-06-18 18:27:00,6,2017,2017-06,2014,5,2017-06,3 years,A740028,Dog,German Shepherd Mix,Black/Tan,1641 Whittard Of Chelsea Ln in Travis (TX),Normal,Owner Surrender,Male - Intact,1,1095,3.0,2017-05-15 17:13:00,5,2017,2017-05,1.0,34 days 01:14:00.000000000,34.05138888888889
1 year,A740118,N/A,Rto-Adopt,Neutered Male,365,2017-05-30 19:06:00,5,2017,2017-05,2016,3,2017-05,1 year,A740118,Dog,Beagle Mix,Brown,100 Radam in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-05-25 08:26:00,5,2017,2017-05,1.0,5 days 10:40:00.000000000,5.4444444444444455
1 year,A740698,N/A,Rto-Adopt,Neutered Male,365,2018-03-06 17:27:00,3,2018,2018-03,2016,3,2018-03,1 year,A740698,Dog,Pit Bull Mix,Brown/White,Del Valle (TX),Normal,Public Assist,Male - Intact,1,365,1.0,2018-02-11 17:38:00,2,2018,2018-02,1.0,22 days 23:49:00.000000000,22.992361111111112
1 year,A740957,N/A,Rto-Adopt,Neutered Male,365,2017-08-01 17:43:00,8,2017,2017-08,2015,12,2017-08,1 year,A740957,Dog,Chihuahua Shorthair Mix,Red/Tan,902 Willow Street in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-07-26 15:46:00,7,2017,2017-07,1.0,6 days 01:57:00.000000000,6.08125
1 year,A742163,N/A,Rto-Adopt,Intact Male,365,2017-04-09 18:30:00,4,2017,2017-04,2016,3,2017-04,1 year,A742163,Dog,German Shepherd/Labrador Retriever,Tan,6510 Carson Ridge in Austin (TX),Normal,Stray,Male - Intact,1,365,1.0,2017-04-05 15:11:00,4,2017,2017-04,3.0,4 days 03:19:00.000000000,4.138194444444444
2 years,A742283,N/A,Rto-Adopt,Spayed Female,730,2017-03-21 17:23:00,3,2017,2017-03,2015,1,2017-03,2 years,A742283,Dog,Collie Rough Mix,Tan/White,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,730,2.0,2017-03-16 17:19:00,3,2017,2017-03,2.0,5 days 00:04:00.000000000,5.002777777777778
1 year,A742557,N/A,Rto-Adopt,Spayed Female,365,2017-07-31 18:54:00,7,2017,2017-07,2016,1,2017-07,1 year,A742557,Dog,Cairn Terrier Mix,Black Smoke/Gray,4301 Burney Dr in Austin (TX),Injured,Stray,Female - Spayed,1,365,1.0,2017-07-26 15:32:00,7,2017,2017-07,1.0,5 days 03:22:00.000000000,5.1402777777777775
10 months,A742767,N/A,Rto-Adopt,Spayed Female,300,2017-05-15 14:15:00,5,2017,2017-05,2016,6,2017-05,9 months,A742767,Dog,Labrador Retriever Mix,Black,Austin (TX),Normal,Owner Surrender,Female - Spayed,1,270,0.7397260273972602,2017-04-05 14:54:00,4,2017,2017-04,1.0,39 days 23:21:00.000000000,39.97291666666667
